,0
0,119899.96559594994
1,159362.80815544788
2,166469.44389646812
3,171188.13989767592
4,194925.8666991418
5,174976.4253306507
6,163348.08312889424
7,169082.4014981231
8,178923.17683704995
9,113555.44370610408
10,195790.0955011062
11,92398.81755598154
12,88530.10924963834
13,157888.57935645923
14,148341.63377275728
15,355834.9498189031
16,256424.19122353973
17,289799.572404216
18,237865.32523209028
19,470651.1547514592
20,309602.1676118132
21,197026.77566365554
22,175607.92727686104
23,173482.03245656408
24,168126.70335468344
25,193969.22514931622
26,340315.55021966924
27,230018.45512369025
28,190712.91577793894
29,204694.68429179493
30,184703.7959696204
31,111789.98630352972
32,193600.01085308188
33,289327.085841744
34,263686.79631460225
35,216468.2515951573
36,179342.42422469595
37,158931.39042201635
38,160796.706734931
39,136328.4530558645
40,166771.3288179698
41,155496.378940643
42,297743.8319879317
43,220755.60457187542
44,221167.59417987987
45,193096.66441588104
46,224851.7652452624
47,207959.32461281127
48,179223.8069196018
49,150497.60256551765
50,138702.79515004865
51,170840.63940839857
52,163134.25620256807
53,199042.39313482956
54,205889.0755046916
55,186785.52825202723
56,150359.65272915096
57,156057.15923466516
58,228166.56811308672
59,139436.5604731377
60,144040.74018477282
61,184107.81336099203
62,125572.56171861282
63,123688.2803815698
64,124352.40791913705
65,135103.52719200024
66,96313.56840411428
67,127748.97867389208
68,147561.79041770715
69,163178.38221488305
70,128923.97804144291
71,98144.52947311234
72,149161.5801665698
73,119698.23124351725
74,167675.0986718896
75,119253.54001147804
76,78829.12361757529
77,194096.43731369916
78,236528.77112783783
79,126166.07807334625
80,158108.32450776544
81,149649.44477470717
82,224931.77009951655
83,101414.80183440984
84,102351.23999656207
85,114382.96922622905
86,142327.2111361187
87,143107.4468714378
88,104594.27304335807
89,159666.68828708096
90,110849.89144097845
91,146447.0720111086
92,170593.3430327023
93,117501.56082018495
94,189368.4619319515
95,80448.72153453283
96,117281.56786586416
97,98752.16349021651
98,121476.21710144948
99,146728.56607280922
100,157377.4556866671
101,120836.40551401499
102,113896.02142261916
103,138912.10129490012
104,159791.59298493087
105,211506.50776255823
106,91424.3999514905
107,211187.71757060377
108,151864.02023373547
109,113292.91067966813
110,140349.8021946005
111,151924.51571508028
112,239608.50908201886
113,124192.87058801341
114,202519.8545955626
115,206430.16919214497
116,193381.7432581001
117,166091.24560202225
118,123952.68886138803
119,186249.41565719733
120,150726.31542500225
121,118484.58051332794
122,331043.7575781421
123,222826.49860809057
124,134740.99546614964
125,78398.12972889934
126,93898.76342856007
127,152159.91251382392
128,110884.4115331607
129,132320.9173823522
130,103633.39503522158
131,135856.82186546858
132,123258.14598633132
133,150126.65960361803
134,110928.34320908283
135,241507.9136694722
136,183173.9190961581
137,190735.50709574143
138,195764.90100422205
139,193585.05445779942
140,75295.8583527985
141,105030.90141981779
142,92804.39807905725
143,276874.1653028151
144,246036.7503973902
145,165598.6255449573
146,175016.4281622538
147,204146.56850205603
148,186916.29223156223
149,160355.20221076763
150,140290.15310396207
151,150744.7438776792
152,156206.80147230788
153,120246.230867721
154,95613.4085652434
155,84884.06443224853
156,92156.10853993257
157,119505.71548149761
158,125424.73130093786
159,170972.257832086
160,125548.76551278721
161,163031.85085936045
162,300266.00154296047
163,202456.14650035964
164,123740.180692834
165,174758.65681820968
166,170086.30549937935
167,261896.34013375797
168,177253.0014917265
169,372377.64402498066
170,223847.06332049976
171,244337.23151060235
172,165839.30368979365
173,178476.9868364201
174,170862.33723399029
175,158969.931693235
176,166258.25471422015
177,206314.3117891516
178,172026.80424769642
179,241129.33721375224
180,166057.16889201847
181,211368.02281337394
182,217630.12722601613
183,221382.213083955
184,180318.18516840047
185,145358.02154007502
186,160823.2865144256
187,134205.60653406096
188,140953.05691342682
189,108246.34089530524
190,118234.33475456045
191,92997.54991973325
192,92223.52009181622
193,157719.74728017402
194,157086.5673325063
195,149847.90741057097
196,157634.37557906038
197,148429.74764361803
198,149398.9793432052
199,134465.51309385244
200,462110.38535143016
201,391176.4178219941
202,326762.355338398
203,503640.2946845533
204,314702.7684795773
205,339600.96505172754
206,339246.1558048844
207,302241.03044737823
208,286438.3884838325
209,323380.1778270454
210,264014.11426738923
211,455770.1435052135
212,296997.32622213353
213,239652.76368095606
214,176994.450672007
215,169923.39582364823
216,208123.5855102583
217,443133.64316054096
218,423694.43728565756
219,303721.443916073
220,275971.68538673414
221,295953.0694603046
222,184323.7571503587
223,171804.73370701424
224,170470.4731286635
225,174572.27557638465
226,165147.78806704027
227,194864.07586697573
228,187996.3430977597
229,181223.61619566492
230,171101.27293621065
231,274571.7006112573
232,164530.5901333714
233,175343.6695639523
234,169085.09286802087
235,263554.1839028156
236,170732.91165793475
237,379321.66077665595
238,292215.5908422048
239,234458.01782733307
240,258000.3877905568
241,247437.0415507143
242,237137.02065633444
243,282362.54283971066
244,232456.61578461976
245,480122.17812753
246,205158.068077877
247,193428.33747965549
248,261836.5360014374
249,229811.37018401062
250,251934.9458705597
251,229166.33159739
252,242956.0335784781
253,215194.70525137804
254,188359.8639810837
255,188375.97636022253
256,176400.1852584736
257,142655.76855672823
258,187488.52477257463
259,258025.08186717724
260,175345.4835682165
261,135056.1853580141
262,148168.35045623322
263,200524.24409769083
264,226493.72450238164
265,172762.89419185283
266,160945.23396362568
267,183430.6303582485
268,165420.72295942972
269,169866.40998615194
270,125812.28518804943
271,102804.97147215439
272,110424.7155992413
273,128846.68754128001
274,124807.244622307
275,118452.03736640792
276,355577.0981190793
277,205234.74859841642
278,278093.14261721406
279,203607.6247900781
280,172655.1585794611
281,171900.64827520563
282,168388.68624895057
283,300096.0870598326
284,233052.00293426373
285,269472.23879959795
286,197986.1571093234
287,198621.8413813791
288,150374.67763414385
289,136426.63065321016
290,232485.1829316063
291,115971.21749398229
292,167983.8768167897
293,212589.91770540972
294,159082.3300721142
295,117916.56072304306
296,116099.22592860545
297,132057.53020481017
298,166783.48604609034
299,148473.12366731852
300,146887.80548775132
301,173586.20424307464
302,185647.4345126694
303,112179.00945575858
304,193968.75425825163
305,164225.70876477292
306,218593.1648965733
307,141670.18798383774
308,182330.24565188502
309,146387.61005017062
310,138139.00161509664
311,152439.61004379814
312,138448.42417824073
313,155563.45756156062
314,139583.44627454007
315,134189.13219447134
316,109760.93528490911
317,132354.55647116303
318,113400.92683562514
319,186582.50944806502
320,133977.0124409437
321,102160.2796039547
322,141106.1225306709
323,98242.1745779309
324,119345.11618084896
325,132879.01198063567
326,188462.54260982695
327,81012.2621930117
328,108165.40045354282
329,90962.05792810215
330,205300.01195484618
331,163904.3159924372
332,124226.77825822872
333,137100.38828490858
334,143434.8240947423
335,122643.63921131105
336,132808.62719427966
337,129298.50790486443
338,112701.15680603102
339,115704.50851075303
340,158622.21237919855
341,162330.29003017355
342,177616.86156781748
343,126485.55754166709
344,134388.4330873106
345,121003.48181862842
346,181823.7229027202
347,123603.03355130921
348,126471.59835553654
349,159870.20066117038
350,134480.83967875133
351,129046.78124303035
352,125393.33865172735
353,102458.08653072648
354,80263.79508386031
355,96360.50831941521
356,133476.05845468713
357,180521.16790968206
358,107182.84954395096
359,66857.37688545832
360,129595.64827963656
361,175510.18710356823
362,63211.253433512145
363,143435.75461210153
364,132651.41203395894
365,94956.02605759821
366,99963.20097793348
367,157021.81885138858
368,129803.76948703486
369,173813.9869561341
370,173922.75326791947
371,109469.3415548981
372,175811.14908204388
373,129508.28503707504
374,176231.7544596989
375,139442.94625396887
376,87268.79697976047
377,143031.67179245717
378,91865.32342983356
379,170908.27638467407
380,152844.73428085534
381,100985.24384041659
382,133195.0714359365
383,132624.26843142838
384,151258.71479718303
385,149407.9055978031
386,150880.26355717817
387,63207.460743413896
388,107461.0742593051
389,131116.30386502764
390,159253.22888701098
391,130984.62953897804
392,133925.9852260976
393,170663.0663907633
394,117470.0050068451
395,214362.3814868367
396,150024.93358544068
397,154130.78277837933
398,151160.28704506694
399,138221.3179764683
400,151000.34725546231
401,321743.2663849883
402,321107.3212646824
403,321107.3212646824
404,315060.8354343512
405,330190.2656016763
406,231807.92145027328
407,296593.39251900295
408,194729.14363087682
409,241005.7457122859
410,259440.58254599923
411,167502.84091531928
412,215753.729018132
413,135197.24519236272
414,192824.0946568163
415,181625.3126619822
416,205321.930949347
417,215058.75713148917
418,129083.10234411494
419,129711.15949218693
420,237736.1998226329
421,250437.70310877805
422,190614.24077382704
423,200765.40788655434
424,285016.4382541359
425,295274.55088293
426,210950.08060719646
427,313404.1594213345
428,164914.75193658305
429,128852.61525657486
430,135875.30796291688
431,113348.44727970852
432,132620.03190776223
433,157732.76837184984
434,139364.591013056
435,122231.62699996603
436,111183.44040110598
437,97751.39522823143
438,136971.51998999759
439,147253.72697632018
440,149518.99484457888
441,148479.2464340113
442,220656.7501649778
443,136092.98031283251
444,183096.09480453306
445,144052.47554384352
446,220118.35007359408
447,100006.23715360292
448,123359.27306852504
449,110530.17470660401
450,182982.3697448844
451,266785.5578011627
452,161211.26235192246
453,93380.51336685549
454,309929.6492140023
455,92007.43045179
456,255576.6739380703
457,131717.76723806004
458,144652.0816747655
459,152744.85245919626
460,458200.21479120926
461,306032.22999672295
462,185397.89759214982
463,221229.9300198718
464,198195.36227829705
465,369023.39908595785
466,132123.7043654673
467,163952.92553072766
468,109383.97822003011
469,125414.30398698969
470,124364.57714584676
471,131597.82175268175
472,175815.7818321187
473,171230.16860984484
474,181320.08432073824
475,176272.89330488283
476,191486.85456056523
477,176714.58592122633
478,230078.8794956277
479,190517.4114895058
480,164664.08156808343
481,201253.55608775717
482,192465.88929308052
483,331133.4480848199
484,373593.8200455391
485,169528.77514084685
486,288058.87983627676
487,162190.78878048682
488,226696.1985729032
489,172820.7491174703
490,242429.77031474415
491,219574.70417265344
492,155410.43610592902
493,172932.6622351635
494,122078.40840361344
495,302737.25049668696
496,163310.6778768652
497,302082.550486081
498,161596.64956447837
499,113690.37450615839
500,113340.55055457242
501,100683.14286610871
502,102920.26997797252
503,112764.4407067013
504,160020.82484711605
505,161269.38602058293
506,285702.35170148726
507,454930.67427988164
508,392557.79220652726
509,469448.9146504405
510,464347.45377974876
511,345327.3930189448
512,259933.67034982756
513,296110.0150329685
514,470060.4554397773
515,263855.63068144926
516,377139.7028217334
517,417721.5602776447
518,293531.50738388195
519,188349.62813892623
520,296413.20574964455
521,221075.44262826533
522,210039.83752309924
523,167630.26732177765
524,206813.69772016507
525,205928.03648133072
526,194501.6640313668
527,173370.7666179431
528,183205.18886885358
529,221596.87485681032
530,215158.1754167638
531,206181.99568566022
532,170567.4395719074
533,244901.1304757817
534,186195.4374200467
535,243870.57789423424
536,319193.7760164167
537,340529.6157384563
538,266091.4563753575
539,290800.45049730176
540,254830.45204279237
541,227895.1350883365
542,243087.796311809
543,271864.02032237884
544,239209.04400180728
545,222543.96595849507
546,229604.08866753915
547,195755.7546478297
548,180733.96615271116
549,191857.84353524155
550,152509.36155740503
551,171645.94060926497
552,167211.7552115191
553,174544.13656144115
554,198103.2382141173
555,180740.22894851386
556,194552.25811908377
557,125551.7958520913
558,125766.7037302606
559,116935.9076773193
560,108095.96961362475
561,167729.78639670397
562,158403.8957070546
563,222194.50314006922
564,367001.8617818428
565,172336.7241324904
566,132217.50411521623
567,160340.47796493978
568,172679.2377848542
569,265742.5631921786
570,251741.34729918756
571,268796.29864229274
572,250620.95574281225
573,160784.1283630651
574,196427.91152687807
575,184930.61106728812
576,186263.50454822375
577,311506.5768996611
578,197892.62817446727
579,412207.8722066466
580,281671.711064756
581,188350.83384999825
582,182815.59330646248
583,180737.3307066056
584,227448.5170248913
585,158072.2726356922
586,165840.20300427402
587,127265.20081664098
588,165139.89924028525
589,191652.24573048184
590,105781.2349051267
591,137821.69749761242
592,156706.4668358627
593,84895.4037337183
594,164954.900043162
595,120608.5111775467
596,130317.15137381523
597,248011.09407507
598,133500.62421857927
599,172084.97987002425
600,174508.261447646
601,141958.77601846037
602,125278.59692991838
603,145016.7154967817
604,136076.34515539889
605,192358.80813683954
606,115319.02802959055
607,162181.44079978083
608,97131.0492075356
609,112388.23188240116
610,89832.96255192661
611,153334.25159554364
612,126128.528702656
613,175977.10730271263
614,158429.33629004445
615,110879.74405981983
616,158243.09497604822
617,137126.687408078
618,126126.2050748004
619,120616.79107965191
620,143032.32057724387
621,160840.93830494993
622,149382.25063767802
623,120054.45513927941
624,138123.67761621196
625,133656.53197196513
626,126962.97223740481
627,109295.04042176227
628,82835.37761683793
629,150111.65787673875
630,134314.5350531768
631,155058.65317651097
632,147055.93663686293
633,136044.2639391494
634,160106.4001954529
635,100239.3703914471
636,94711.40796611317
637,159737.83516797482
638,91900.71909146846
639,105187.94918371894
640,162806.95412590346
641,147451.6240594353
642,102726.71945161124
643,161912.3213023474
644,133205.74573181706
645,81344.47961187297
646,243616.1038643245
647,124288.06453447811
648,117795.49800773605
649,124301.18953861034
650,154395.21249796
651,142918.33496389602
652,110358.05707917416
653,104741.1443827398
654,158670.04795291566
655,103062.94761238765
656,159936.29462736545
657,111189.22697042034
658,111171.93347996261
659,98829.70742254081
660,124176.50325197059
661,88862.10776235683
662,88630.76732647177
663,180024.9103453598
664,165483.4944968292
665,177193.8507280734
666,184753.42464080584
667,145424.61892053334
668,111922.46657818614
669,173353.4710674546
670,177772.8109175579
671,120652.98494514468
672,125424.51792938993
673,104379.15493128185
674,98775.65849053611
675,86171.35172873121
676,130419.2422830643
677,133463.01126921998
678,149834.35973001117
679,139874.21331638168
680,136615.05652747583
681,137916.39124652641
682,143377.61511266418
683,115798.61233217953
684,129283.37004763885
685,153303.63541390913
686,133301.3645737253
687,109846.39629457098
688,132834.14213619306
689,240880.27180162896
690,130344.06170785136
691,180142.9609736912
692,165880.36417733354
693,114135.49692692576
694,131270.28616495768
695,245636.90867043874
696,226592.4074257408
697,243397.6443298696
698,192843.6312535485
699,164874.91902101494
700,235915.71958449675
701,453071.37865688896
